dataset_file,column,meaning,type,valid_values_or_range,example,missing_count,origin,handling_note
raw/insurance_claims_dataset.csv,Claim_ID,Unique identifier of the insurance claim (e.g. CLM000001). Primary key of the claims table.,identifier,"50,000 distinct values",CLM000001,0,Source file (as supplied),Synthetic/de-identified claims table supplied to the group.
raw/insurance_claims_dataset.csv,Customer_ID,"Identifier of the policyholder/claimant (e.g. CUST018311). One customer can have several claims and portal logins; join key to portal, document and anomaly tables.",identifier,"18,409 distinct values",CUST018311,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Policy_Number,Identifier of the underlying insurance policy (e.g. POL0285346).,identifier,"48,684 distinct values",POL0285346,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Age,Policyholder age in years at time of claim.,integer,18 to 79,79,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Gender,Policyholder gender as recorded in the source (Male/Female). Not used to make decisions; retained as a model input only.,categorical,Female | Male,Male,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Region,Geographic region of the policyholder (North/South/East/West).,categorical,East | North | South | West,West,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Policy_Type,Line of insurance the policy covers (Auto/Home/Health/Life).,categorical,Auto | Health | Home | Life,Home,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Premium_Amount,Annual premium paid by the policyholder (source currency units).,float,200.05 to 4999.86,3264.23,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Coverage_Amount,Total coverage limit of the policy.,float,5001.71 to 99996.5,56380.37,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Claim_Amount,Amount requested in the claim. Reported in N$ in the project outputs.,float,501.24 to 49999.8,8140.64,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Claim_Type,Category of the claim event (Accident/Theft/Property/Medical).,categorical,Accident | Medical | Property | Theft,Accident,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Credit_Score,Policyholder credit score (approx. 300-849).,integer,300 to 849,529,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Fraud_Risk_Score,Engineered 0-100 risk score supplied with the source data. Fraud_Flag = Yes when the score is greater than 75. Treated as a label proxy and EXCLUDED from model features.,float,0 to 100,91.93,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Fraud_Flag,"Fraud label used as the supervised target (Yes/No). Derived in the source data from Fraud_Risk_Score > 75; it is a risk flag, not a legal finding of fraud.",categorical,No | Yes,Yes,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Claim_Status,"Adjudication status (Approved/Rejected/Under Review). 'Under Review' corresponds exactly to Fraud_Flag = Yes, so it is a label proxy and is excluded from model features.",categorical,Approved | Rejected | Under Review,Under Review,0,Source file (as supplied),
raw/insurance_claims_dataset.csv,Settlement_Amount,Amount actually settled/paid on the claim.,float,259.94 to 49893.7,4330.86,0,Source file (as supplied),
raw/employee_data.csv,AGENT_ID,Unique agent/employee identifier (e.g. AGENT00001). Renamed Staff_ID in processed data.,identifier,"1,200 distinct values",AGENT00001,0,Source file (as supplied),Synthetic agent roster. Bank routing/account columns are DROPPED in processing (ethical control).
raw/employee_data.csv,AGENT_NAME,Agent full name (synthetic). Renamed Staff_Name in processed data; use Staff_ID in outputs shared beyond the project.,text,"1,198 distinct values",Ray Johns,0,Source file (as supplied),
raw/employee_data.csv,DATE_OF_JOINING,Date the agent joined the organisation.,date,1990-06-25 to 2018-06-24,1993-06-05,0,Source file (as supplied),
raw/employee_data.csv,ADDRESS_LINE1,"Agent home address, line 1 (synthetic).",text,"1,002 distinct values",1402 Maggies Way,0,Source file (as supplied),
raw/employee_data.csv,ADDRESS_LINE2,"Agent home address, line 2 (synthetic); mostly blank.",text,114 distinct values,#306,1021,Source file (as supplied),
raw/employee_data.csv,CITY,Agent home city (synthetic).,text,203 distinct values,Waterbury Center,7,Source file (as supplied),
raw/employee_data.csv,STATE,Agent home state code (synthetic; US-style values in the source).,text,16 distinct values,VT,0,Source file (as supplied),
raw/employee_data.csv,POSTAL_CODE,Agent home postal/ZIP code (synthetic).,integer,1007 to 99577,5677,0,Source file (as supplied),
raw/employee_data.csv,EMP_ROUTING_NUMBER,Bank routing number in the source roster. SENSITIVE-STYLE FIELD: dropped during processing and never used.,integer,1.00221e+07 to 1.29923e+08,34584958,0,Source file (as supplied),
raw/employee_data.csv,EMP_ACCT_NUMBER,Bank account reference in the source roster. SENSITIVE-STYLE FIELD: dropped during processing and never used.,identifier,"1,200 distinct values",HKUN51252328472585,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,employee_department,Department of the employee in the behavioural record.,categorical,Engineering Department | Executive Management | Finance | Human Resources | Information Technology | Legal and Regulation | Marketing and Business Development | Operations and Manufacturing | ...,Engineering Department,0,Source file (as supplied),Behavioural insider-threat records. Contains sensitive personal attributes - see notes on individual columns.
raw/insider_threat_clean_dataset.csv,employee_campus,Campus/site the employee is based at (Campus A-C).,categorical,Campus A | Campus B | Campus C,Campus C,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,employee_position,Job title of the employee.,text,48 distinct values,Design Engineer,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,employee_seniority_years,Years of service (0-31).,integer,0 to 31,22,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,is_contractor,"1 if the person is a contractor, 0 if an employee.",binary flag,"0, 1",0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,employee_classification,Ordinal classification level 1-4 (the source does not document what the levels mean).,integer,1 to 4,2,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,has_foreign_citizenship,1 if the record indicates foreign citizenship. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,has_criminal_record,1 if the record indicates a criminal record. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,has_medical_history,1 if the record indicates a medical history. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,employee_origin_country,Country of origin of the employee. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,text,32 distinct values,Georgia,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,total_printed_pages,Total pages printed in the observation period (data-leakage indicator).,integer,0 to 728,0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,num_printed_pages_off_hours,Pages printed outside working hours (data-leakage indicator).,integer,0 to 253,0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,total_files_burned,Number of files written to disc/removable media (data-leakage indicator).,integer,0 to 186,4,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,burned_from_other,1 if files were burned from another person's/other resource (data-leakage indicator).,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,is_abroad,1 if the employee was travelling abroad.,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,trip_day_number,Day number of the trip abroad (0 when not travelling).,integer,0 to 14,0.0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,hostility_country_level,Ordinal 0-3 level of the destination country's assessed hostility (scale not documented in the source).,integer,0 to 3,0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,num_entries,Number of building/site entries recorded.,integer,0 to 4,1,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,num_unique_campus,Number of distinct campuses entered.,integer,0 to 3,1,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,late_exit_flag,"1 if the employee left late (constant 0 in this dataset, so carries no information).",binary flag,"0, 1",0,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,entry_during_weekend,1 if entry occurred at a weekend.,binary flag,"0, 1",1,0,Source file (as supplied),
raw/insider_threat_clean_dataset.csv,is_malicious,Source label: 1 if the behavioural record is labelled as malicious insider activity.,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insurance_fraud_data.csv,claim_number,Claim identifier in the auto-fraud dataset (no shared key with the main claims table).,integer,186624 to 6.22039e+08,414724,0,Source file (as supplied),Auto-claim fraud dataset used only to enrich claim features; contains '*' placeholders and impossible values.
raw/insurance_fraud_data.csv,age_of_driver,Driver age. Contains impossible values (max 278).,integer,19 to 278,39,0,Source file (as supplied),
raw/insurance_fraud_data.csv,gender,Driver gender (F/M) in the auto-fraud dataset.,categorical,F | M,M,0,Source file (as supplied),
raw/insurance_fraud_data.csv,marital_status,Marital status code; contains '*' placeholders.,categorical,* | 0 | 1,1,0,Source file (as supplied),
raw/insurance_fraud_data.csv,safety_rating,Driver safety rating 0-100.,integer,2 to 100,73,0,Source file (as supplied),
raw/insurance_fraud_data.csv,annual_income,Annual income; contains negative values.,float,-1.6 to 257314,58612.8,0,Source file (as supplied),
raw/insurance_fraud_data.csv,high_education,1 if the driver has higher education.,binary flag,"0, 1",1,0,Source file (as supplied),
raw/insurance_fraud_data.csv,address_change,1 if the driver's address changed recently.,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insurance_fraud_data.csv,property_status,Own or Rent.,categorical,Own | Rent,Own,0,Source file (as supplied),
raw/insurance_fraud_data.csv,zip_code,ZIP code (0 appears as a placeholder).,integer,0 to 85083,50048,0,Source file (as supplied),
raw/insurance_fraud_data.csv,claim_date,Claim date as text (m/d/yyyy); contains '*' placeholders.,date,* to 9/9/2024,8/12/2023,0,Source file (as supplied),
raw/insurance_fraud_data.csv,claim_day_of_week,Day of week of the claim; contains '*' placeholders.,categorical,* | Friday | Monday | Saturday | Sunday | Thursday | Tuesday | Wednesday,Saturday,0,Source file (as supplied),
raw/insurance_fraud_data.csv,accident_site,"Where the accident occurred (Highway, Parking Lot, ...).",categorical,Highway | Local | Parking Lot,Highway,0,Source file (as supplied),
